,fc3.weight_0,fc3.weight_1,fc3.weight_2,fc3.weight_3,fc3.weight_4,fc3.weight_5,fc3.weight_6,fc3.weight_7,fc3.weight_8,fc3.weight_9
0,-0.08506343513727188,-0.320003479719162,-0.2564884126186371,0.19674238562583923,-0.7914837002754211,-0.27398911118507385,-0.8466873168945312,-0.4297803044319153,0.10214190930128098,-0.3943387269973755
1,0.36597591638565063,-0.8324193358421326,0.0363529734313488,-0.38623860478401184,0.116486094892025,-0.5740581750869751,0.5931326746940613,-0.8182902932167053,-0.4329405725002289,-0.21338526904582977
2,-0.15296658873558044,0.35662490129470825,-0.826321005821228,-0.5106687545776367,-0.021741095930337906,-0.7763321399688721,-0.9106469750404358,0.1732434630393982,-0.11028871685266495,0.0886232852935791
3,-0.5062896609306335,-0.40286147594451904,0.16108891367912292,-0.10212421417236328,-0.2864916920661926,-0.16604261100292206,-0.2536643445491791,-0.3584984838962555,0.01188040990382433,0.24599270522594452
4,0.046433426439762115,-0.4121290147304535,-0.13357219099998474,-0.35725581645965576,-0.08739669620990753,-0.535647451877594,-0.12621355056762695,-0.271732896566391,-0.04613654688000679,-0.08792770653963089
5,0.22106200456619263,-0.3882100582122803,-0.7378912568092346,-0.4573262929916382,-0.4790348410606384,-0.23237240314483643,-0.24810890853405,-0.07237470895051956,-0.7073642015457153,-0.039160508662462234
6,-0.10591678321361542,-0.21187648177146912,-0.10308422893285751,-0.24687059223651886,0.03384019061923027,-0.03614487871527672,-0.1574452668428421,0.05948701128363609,-0.10247064381837845,-0.14123058319091797
7,-0.2019764631986618,-0.26818832755088806,0.37123170495033264,0.061924632638692856,-0.5443071126937866,-1.0333210229873657,-0.447429358959198,-0.6582784652709961,-0.15186704695224762,-0.38885632157325745
8,-1.347159743309021,-0.4777262806892395,0.2077489197254181,0.09622974693775177,-0.7026371955871582,0.27250292897224426,-0.19496987760066986,-0.6264766454696655,0.2722998559474945,0.06466241180896759
9,0.3499479591846466,0.057591959834098816,0.12878046929836273,-0.2379900962114334,-0.6341259479522705,-0.0009970362298190594,-0.6535574197769165,0.30732083320617676,-0.41993629932403564,0.05088197439908981
10,0.06968088448047638,0.022628871724009514,-0.6448897123336792,-0.2549368143081665,-0.6563647985458374,0.011830275878310204,0.013701912946999073,-0.3012564480304718,0.2933083474636078,-0.5462483167648315
11,-0.40797752141952515,0.14287598431110382,0.2008575201034546,-0.23133476078510284,0.026677634567022324,-0.24279531836509705,0.06201070174574852,0.14009901881217957,-0.4588772654533386,-0.5008978247642517
12,-0.9846165180206299,-0.19796869158744812,-0.25029999017715454,0.05198955908417702,-0.08867225795984268,0.17546264827251434,-0.20228791236877441,-0.6056063175201416,-0.24448005855083466,-0.2485157549381256
13,-0.1711852252483368,0.09702891111373901,-0.5688255429267883,0.462158203125,-0.5108385682106018,-0.11929787695407867,0.24171452224254608,0.07542169094085693,0.24493996798992157,-0.6406276226043701
14,-0.9759160876274109,0.22741694748401642,-1.1001800298690796,-0.37421050667762756,-0.05238416790962219,-0.8742923140525818,-0.9885974526405334,0.3218107521533966,-0.18590465188026428,0.28414031863212585
15,-0.3124812841415405,0.2907788157463074,-0.8564355969429016,0.25151053071022034,-0.33989498019218445,0.5469096302986145,-0.2967776358127594,-0.737281322479248,-0.061862580478191376,-0.4005328416824341
16,-0.41061165928840637,-0.941060483455658,0.024544181302189827,-0.25234487652778625,0.013922975398600101,-0.19402509927749634,0.13521304726600647,-0.7510275840759277,-0.7385526299476624,0.08156496286392212
17,0.10910563170909882,-0.4875340461730957,-0.41068607568740845,-0.45340415835380554,0.16246332228183746,-0.3430697023868561,-0.7261807322502136,-0.25910744071006775,-0.2124468982219696,0.1682184636592865
18,-0.3092415928840637,-0.432161420583725,-1.3613784313201904,0.0069472454488277435,-0.11860157549381256,-0.7463933825492859,0.41301584243774414,-0.7027658224105835,-0.4642869234085083,-0.019734669476747513
19,-0.09719435125589371,-0.06542856991291046,-0.09789000451564789,0.0217788964509964,0.0418551005423069,0.0025926309172064066,0.010740673169493675,-0.07274790853261948,0.11977213621139526,0.10038555413484573
20,-0.7976080775260925,0.6337645649909973,-0.14990821480751038,-0.67355877161026,-0.16331663727760315,-0.12693288922309875,0.09612854570150375,0.04671085253357887,-0.06257370859384537,-0.2879386246204376
21,-0.4773200750350952,-0.3615032434463501,-0.0959073156118393,0.38931646943092346,-0.6868869662284851,-0.21512481570243835,-0.2947331964969635,-0.23724359273910522,-0.005690853111445904,-0.037187401205301285
